C_ID,M_ID,C_NAME,C_EMAIL_ID,C_TYPE,C_ADDR,C_CONT_NO,Valid/Invalid Contact ,Valid/Invalid Email,Normalized Customer Name,Normalized Email ID
4351,174,Alonzo,Freda331@yahoo.co.in,Internal Goods,400 Block of LEAVENWORTH ST,1772719208,Valid,Valid,Alonzo,freda331@yahoo.co.in
5578,634,Ray,David216@ymail.com,Wholesale,4400 Block of ANZA ST,3581081156,Valid,Valid,Ray,david216@ymail.com
4523,456,Tiffany,Winnifred436@gmail.com,Wholesale,GEARY ST / TAYLOR ST,9811567113,Valid,Valid,Tiffany,winnifred436@gmail.com
2972,0,Rosalind,Bryce535@google.co.in,Wholesale,1500 Block of NEWCOMB AV,7176117751,Valid,Valid,Rosalind,bryce535@google.co.in
6153,186,Franklin,Maeve922@gmail.com,Retail,ELLIS ST / JONES ST,5362454917,Valid,Valid,Franklin,maeve922@gmail.com
4852,596,Sophie,Seth275@ymail.com,Internal Goods,24TH ST / MISSION ST,9745073612,Valid,Valid,Sophie,seth275@ymail.com
8106,245,Matthew,Maria344@yahoo.com,Retail,600 Block of JOHNMUIR DR,4218762280,Valid,Valid,Matthew,maria344@yahoo.com
3917,17,Larry,Taron588@yahoo.co.in,Internal Goods,1700 Block of LYON ST,2224750233,Valid,Valid,Larry,taron588@yahoo.co.in
9377,48,Elena,Bryce621@google.co.in,Internal Goods,3100 Block of 20TH AV,8017236646,Valid,Valid,Elena,bryce621@google.co.in
5387,457,Brady,Ramona218@gmail.com,Retail,1300 Block of COLUMBUS AV,5712616501,Valid,Valid,Brady,ramona218@gmail.com
6513,944,Sapphire,Adrienne107@gmail.com,Retail,LARKIN ST / POST ST,7065731530,Valid,Valid,Sapphire,adrienne107@gmail.com
3965,516,Gene,Dawn743@yahoo.com,Retail,800 Block of AMAZON AV,3636499761,Valid,Valid,Gene,dawn743@yahoo.com
8893,847,Magdalene,Yessenia134@yahoo.com,Retail,400 Block of 39TH AV,6491626668,Valid,Valid,Magdalene,yessenia134@yahoo.com
1897,504,Norma,Ryan368@ymail.com,Wholesale,300 Block of CAPISTRANO AV,8023324199,Valid,Valid,Norma,ryan368@ymail.com
390,115,Destiny,Harriette113@ymail.co.in,Retail,400 Block of POWELL ST,6958292565,Valid,Valid,Destiny,harriette113@ymail.co.in
3633,740,Glory,Jana467@gmail.com,Internal Goods,HARRIET ST / HOWARD ST,3794685776,Valid,Valid,Glory,jana467@gmail.com
7828,884,Latasha,Frances207@ymail.co.in,Internal Goods,1500 Block of TURK ST,1973040699,Valid,Valid,Latasha,frances207@ymail.co.in
2241,446,Clay,Tiffani841@google.co.in,Internal Goods,200 Block of SILVER AV,4120733093,Valid,Valid,Clay,tiffani841@google.co.in
896,74,Frances,Cecile32@hotmail.com,Internal Goods,800 Block of BRYANT ST,5785102250,Valid,Valid,Frances,cecile32@hotmail.com
6361,636,Dinah,Bryce393@ymail.com,Internal Goods,2100 Block of LOMBARD ST,9235867886,Valid,Valid,Dinah,bryce393@ymail.com
6713,37,merna,Earle203@google.co.in,Retail,GOLDEN GATE AV / VANNESS AV,7134849334,Valid,Valid,Merna,earle203@google.co.in
4283,804,Louise,Danita716@ymail.com,Wholesale,800 Block of BRYANT ST,4751700379,Valid,Valid,Louise,danita716@ymail.com
9486,694,Kaitlyn,Raeleigh114@gmail.com,Wholesale,POWELL ST / MARKET ST,9430559862,Valid,Valid,Kaitlyn,raeleigh114@gmail.com
308,198,Morgan,Guy394@outlook.com,Retail,CAPP ST / 17TH ST,4160161977,Valid,Valid,Morgan,guy394@outlook.com
8927,576,Courtney,Anastasia108@google.co.in,Wholesale,0 Block of SADOWA ST,1660494007,Valid,Valid,Courtney,anastasia108@google.co.in
249,754,Rayshawn,Benita963@gmail.com,Retail,500 Block of GEARY ST,2979310129,Valid,Valid,Rayshawn,benita963@gmail.com
2620,547,Eddie,Dianne471@ymail.com,Retail,0 Block of OFARRELL ST,1973879566,Valid,Valid,Eddie,dianne471@ymail.com
1164,656,Maurice,Andrea833@yahoo.co.in,Internal Goods,2700 Block of FILBERT ST,7030699598,Valid,Valid,Maurice,andrea833@yahoo.co.in
4711,654,Taryn,Raul112@outlook.com,Internal Goods,700 Block of VALLEJO ST,2618164744,Valid,Valid,Taryn,raul112@outlook.com
4053,646,Lazaro,Raven727@yahoo.co.in,Retail,300 Block of FILLMORE ST,6736421797,Valid,Valid,Lazaro,raven727@yahoo.co.in
4272,250,Muriel,Rebecca74@yahoo.co.in,Retail,0 Block of MYRTLE ST,5071378297,Valid,Valid,Muriel,rebecca74@yahoo.co.in
7005,81,Dejon,Rosalind124@hotmail.com,Retail,300 Block of HOLLADAY AV,3907479910,Valid,Valid,Dejon,rosalind124@hotmail.com
2308,898,Peter,Anne714@gmail.com,Internal Goods,DORLAND ST / GUERRERO ST,8175968796,Valid,Valid,Peter,anne714@gmail.com
5150,461,Todd,Michael518@yahoo.com,Wholesale,23RD ST / DOUGLASS ST,2711085992,Valid,Valid,Todd,michael518@yahoo.com
693,390,Stacy,Danielle957@yahoo.co.in,Internal Goods,5000 Block of 3RD ST,3457826852,Valid,Valid,Stacy,danielle957@yahoo.co.in
9598,988,Frank,Heather632@hotmail.com,Internal Goods,0 Block of 7TH ST,2858707837,Valid,Valid,Frank,heather632@hotmail.com
8103,597,Catherine,Kaitlyn744@yahoo.com,Retail,3500 Block of 26TH ST,2065509695,Valid,Valid,Catherine,kaitlyn744@yahoo.com
8894,916,Daren,Eileen529@google.co.in,Wholesale,0 Block of MAYNARD ST,4133664929,Valid,Valid,Daren,eileen529@google.co.in
114,135,tiffanY,Cheyenne213@outlook.com,Internal Goods,MISSION ST / 17TH ST,5958159146,Valid,Valid,Tiffany,cheyenne213@outlook.com
6546,262,Isidro,Ely630@yahoo.com,Wholesale,300 Block of MARKET ST,1022633285,Valid,Valid,Isidro,ely630@yahoo.com
3571,844,Claude,Irby513@hotmail.com,Retail,800 Block of CLEMENT ST,4283361474,Valid,Valid,Claude,irby513@hotmail.com
7316,169,Gaylon,Genevieve714@hotmail.com,Retail,4100 Block of GEARY BL,2950413181,Valid,Valid,Gaylon,genevieve714@hotmail.com
2478,671,Adonis,Elliana123@hotmail.com,Internal Goods,3300 Block of CESAR CHAVEZ ST,3513023435,Valid,Valid,Adonis,elliana123@hotmail.com
1215,353,Stacy,Katrice318@yahoo.co.in,Internal Goods,MONTGOMERY ST / BROADWAY ST,6379672748,Valid,Valid,Stacy,katrice318@yahoo.co.in
5402,776,Claude,Laverne188@google.co.in,Retail,17TH ST / SHOTWELL ST,2335838084,Valid,Valid,Claude,laverne188@google.co.in
1647,205,Bambi,Chasity357@yahoo.co.in,Internal Goods,1900 Block of UNION ST,2179414351,Valid,Valid,Bambi,chasity357@yahoo.co.in
9423,705,Isabela,Kyle670@gmail.com,Retail,600 Block of HEAD ST,9984833487,Valid,Valid,Isabela,kyle670@gmail.com
6404,10,Philip,Gene977@ymail.co.in,Internal Goods,0 Block of 7TH ST,4771182901,Valid,Valid,Philip,gene977@ymail.co.in
6767,195,Joe,Marlene682@outlook.com,Wholesale,4100 Block of 18TH ST,6825096485,Valid,Valid,Joe,marlene682@outlook.com
1278,136,Alonzo,Clay181@hotmail.com,Wholesale,2700 Block of FOLSOM ST,9801474305,Valid,Valid,Alonzo,clay181@hotmail.com
1334,500,Philip,Baldemar170@yahoo.co.in,Internal Goods,800 Block of HOWARD ST,7636788633,Valid,Valid,Philip,baldemar170@yahoo.co.in
8887,969,Lola,Claudia529@google.co.in,Retail,2300 Block of MARKET ST,6328420950,Valid,Valid,Lola,claudia529@google.co.in
9858,817,Jennie,Arya715@ymail.co.in,Wholesale,16TH ST / SHOTWELL ST,1174341766,Valid,Valid,Jennie,arya715@ymail.co.in
9636,833,Brennan,Rodney10@ymail.com,Wholesale,2000 Block of JERROLD AV,9030541371,Valid,Valid,Brennan,rodney10@ymail.com
9943,221,Juan,Amelia849@hotmail.com,Internal Goods,600 Block of 9TH AV,3573904144,Valid,Valid,Juan,amelia849@hotmail.com
1246,77,Carlotta,Stephanie808@gmail.com,Retail,900 Block of GENEVA AV,9998350900,Valid,Valid,Carlotta,stephanie808@gmail.com
4527,800,auStin,Dejon859@ymail.com,Wholesale,POLK ST / SUTTER ST,3715864347,Valid,Valid,Austin,dejon859@ymail.com
3782,146,Naisha,Lawrence813@gmail.com,Retail,MISSION ST / 9TH ST,8089653286,Valid,Valid,Naisha,lawrence813@gmail.com
6225,531,Maurice,Felicity667@ymail.com,Internal Goods,1400 Block of HARRISON ST,9827842133,Valid,Valid,Maurice,felicity667@ymail.com
2257,503,Gabrielle,Kim205@hotmail.com,Retail,FILLMORE ST / CALIFORNIA ST,2998991184,Valid,Valid,Gabrielle,kim205@hotmail.com
9177,19,Grover,Morgan937@yahoo.com,Wholesale,EDDY ST / POLK ST,7591554939,Valid,Valid,Grover,morgan937@yahoo.com
8703,897,Carter,Hudson500@gmail.com,Internal Goods,800 Block of BRYANT ST,7320532389,Valid,Valid,Carter,hudson500@gmail.com
3514,703,Claude,Stacy454@hotmail.com,Wholesale,800 Block of OAK ST,8552082746,Valid,Valid,Claude,stacy454@hotmail.com
3089,249,Bianca,Peter111@ymail.co.in,Internal Goods,300 Block of LEAVENWORTH ST,8015529354,Valid,Valid,Bianca,peter111@ymail.co.in
7253,360,Frank,Beth644@outlook.com,Internal Goods,1500 Block of WEBSTER ST,9700239171,Valid,Valid,Frank,beth644@outlook.com
8786,327,Marie,Devon640@hotmail.com,Internal Goods,1600 Block of GEARY BL,8588987011,Valid,Valid,Marie,devon640@hotmail.com
1211,121,Neri,Jonathan257@google.co.in,Internal Goods,500 Block of CRESTLAKE DR,2797657807,Valid,Valid,Neri,jonathan257@google.co.in
359,614,Chelsey,Benita200@yahoo.co.in,Internal Goods,CALIFORNIA ST / FILLMORE ST,3420855911,Valid,Valid,Chelsey,benita200@yahoo.co.in
2066,80,Catherine,John780@yahoo.com,Retail,1700 Block of STEINER ST,5965931339,Valid,Valid,Catherine,john780@yahoo.com
4322,401,Lucien,Jan805@ymail.com,Internal Goods,700 Block of PERU AV,7775860985,Valid,Valid,Lucien,jan805@ymail.com
7773,914,Aidan,Robert988@google.co.in,Internal Goods,100 Block of OAK ST,2945958018,Valid,Valid,Aidan,robert988@google.co.in
6746,713,Tomeka,Kaitlyn60@yahoo.com,Wholesale,HOWARD ST / 3RD ST,8157767838,Valid,Valid,Tomeka,kaitlyn60@yahoo.com
6732,568,Theresa,Stephan274@yahoo.co.in,Internal Goods,1300 Block of MISSION ST,9712766674,Valid,Valid,Theresa,stephan274@yahoo.co.in
805,752,Korie,Emma964@gmail.com,Retail,400 Block of ELLIS ST,2366659988,Valid,Valid,Korie,emma964@gmail.com
7540,867,Misael,Monica700@gmail.com,Retail,4900 Block of MISSION ST,2771856986,Valid,Valid,Misael,monica700@gmail.com
5269,980,Steven,Pamala451@outlook.com,Retail,16TH ST / SHOTWELL ST,4717095278,Valid,Valid,Steven,pamala451@outlook.com
8404,704,Tammi,Matt620@yahoo.com,Wholesale,700 Block of STANYAN ST,6852398753,Valid,Valid,Tammi,matt620@yahoo.com
519,598,Rayburn,Kristie659@hotmail.com,Retail,1400 Block of SACRAMENTO ST,8198842186,Valid,Valid,Rayburn,kristie659@hotmail.com
4060,932,Gordon,Lee224@ymail.co.in,Wholesale,HARRISON ST / 6TH ST,7396097848,Valid,Valid,Gordon,lee224@ymail.co.in
8860,834,Zakariya,Roger478@ymail.co.in,Retail,LAWTON ST / 10TH AV,4508931602,Valid,Valid,Zakariya,roger478@ymail.co.in
7164,209,Otis,Zoya623@gmail.com,Retail,0 Block of URANUS TR,8013342363,Valid,Valid,Otis,zoya623@gmail.com
9792,330,Curtis,Robert627@yahoo.co.in,Retail,300 Block of HYDE ST,4775425957,Valid,Valid,Curtis,robert627@yahoo.co.in
9934,138,Gabrielle,Danny201@yahoo.com,Retail,1100 Block of SUTTER ST,2535125840,Valid,Valid,Gabrielle,danny201@yahoo.com
1980,981,Dani,Ryker409@gmail.com,Retail,1900 Block of PALOU AV,5833657416,Valid,Valid,Dani,ryker409@gmail.com
9251,130,Sadie,Zelda490@yahoo.co.in,Retail,17TH ST / CAPP ST,5905581451,Valid,Valid,Sadie,zelda490@yahoo.co.in
6717,685,Emma,David957@ymail.com,Internal Goods,100 Block of LEAVENWORTH ST,3742557097,Valid,Valid,Emma,david957@ymail.com
3622,544,Eddie,Jacquelin945@yahoo.com,Internal Goods,MARKET ST / POWELL ST,1157949513,Valid,Valid,Eddie,jacquelin945@yahoo.com
8808,384,Connie,Ardis505@ymail.com,Retail,SPEAR ST / MARKET ST,6061993877,Valid,Valid,Connie,ardis505@ymail.com
4920,467,Ricky,Scott41@hotmail.com,Retail,VANNESS AV / CALIFORNIA ST,7395125371,Valid,Valid,Ricky,scott41@hotmail.com
3140,112,Patrick,Alexia131@outlook.com,Wholesale,100 Block of JONES ST,7624401610,Valid,Valid,Patrick,alexia131@outlook.com
8104,906,Annie,Donnell940@ymail.co.in,Wholesale,0 Block of FREMONT ST,8271413320,Valid,Valid,Annie,donnell940@ymail.co.in
2208,609,Elvia,Trent560@google.co.in,Retail,300 Block of 14TH ST,6202223720,Valid,Valid,Elvia,trent560@google.co.in
7043,379,Laurette,Gerald85@google.co.in,Retail,HAROLD AV / BRUCE AV,8194423563,Valid,Valid,Laurette,gerald85@google.co.in
7485,357,Austin,Zakariya835@yahoo.com,Retail,600 Block of TOWNSEND ST,8529931415,Valid,Valid,Austin,zakariya835@yahoo.com
1748,364,Willie,Artie206@ymail.com,Internal Goods,0 Block of POWELL ST,4033094166,Valid,Valid,Willie,artie206@ymail.com
9968,69,Diana,Ryan128@yahoo.com,Retail,1200 Block of IRVING ST,1840361778,Valid,Valid,Diana,ryan128@yahoo.com
5330,973,Amelia,Albertha398@ymail.com,Retail,TARAVAL ST / 48TH AV,5888927246,Valid,Valid,Amelia,albertha398@ymail.com
2183,455,Dennis,Carolyn538@yahoo.co.in,Internal Goods,7TH ST / MISSION ST,1146373455,Valid,Valid,Dennis,carolyn538@yahoo.co.in
2182,247,Paige,Ilana40@ymail.co.in,Retail,EDDY ST / DIVISADERO ST,4951091066,Valid,Valid,Paige,ilana40@ymail.co.in
1087,491,Lydia,Christa254@gmail.com,Wholesale,EDDY ST / JONES ST,3384176833,Valid,Valid,Lydia,christa254@gmail.com
4296,826,Kandace,Bobby84@yahoo.com,Internal Goods,2100 Block of POLK ST,7174320820,Valid,Valid,Kandace,bobby84@yahoo.com
9784,400,Tianna,Laurence971@yahoo.co.in,Internal Goods,SANSOME ST / CHESTNUT ST,2668150446,Valid,Valid,Tianna,laurence971@yahoo.co.in
6210,271,Roxanne,Trevon752@yahoo.co.in,Retail,1500 Block of HUDSON AV,5992525888,Valid,Valid,Roxanne,trevon752@yahoo.co.in
5781,110,Hellen,Jason341@yahoo.com,Retail,1200 Block of MCALLISTER ST,5391751398,Valid,Valid,Hellen,jason341@yahoo.com
8306,277,Zoie,Ramona899@yahoo.com,Retail,16TH ST / MISSION ST,4305011101,Valid,Valid,Zoie,ramona899@yahoo.com
3270,85,George,Harvey871@ymail.co.in,Retail,2200 Block of 14TH AV,3253132607,Valid,Valid,George,harvey871@ymail.co.in
6787,863,Genesis,Ericka392@hotmail.com,Wholesale,GOLDEN GATE AV / FILLMORE ST,3282200761,Valid,Valid,Genesis,ericka392@hotmail.com
3733,731,Reymundo,Scott810@ymail.co.in,Internal Goods,3000 Block of 23RD ST,8831717023,Valid,Valid,Reymundo,scott810@ymail.co.in
207,638,Boyd,Shirley751@gmail.com,Retail,1500 Block of MCALLISTER ST,6274955877,Valid,Valid,Boyd,shirley751@gmail.com
3,275,Janelle,Nevaeh593@outlook.com,Internal Goods,OAK ST / FILLMORE ST,9875661422,Valid,Valid,Janelle,nevaeh593@outlook.com
1896,278,Bryn,Rayburn250@yahoo.co.in,Retail,JOHNFKENNEDY DR / TRANSVERSE DR,9976580262,Valid,Valid,Bryn,rayburn250@yahoo.co.in
9631,948,Eriana,Rayburn258@gmail.com,Retail,MISSION ST / 20TH ST,7191264003,Valid,Valid,Eriana,rayburn258@gmail.com
3132,912,Bayley,Sharyn974@ymail.co.in,Retail,900 Block of HAYES ST,3477191930,Valid,Valid,Bayley,sharyn974@ymail.co.in
1202,426,Chasity,Leslie740@ymail.co.in,Internal Goods,600 Block of PAGE ST,4935174932,Valid,Valid,Chasity,leslie740@ymail.co.in
8834,735,Dejon,Ericka359@ymail.com,Internal Goods,0 Block of WAVERLY PL,6582738747,Valid,Valid,Dejon,ericka359@ymail.com
1201,666,Sydney,Curtis682@hotmail.com,Internal Goods,MARKET ST / 3RD ST,7050577792,Valid,Valid,Sydney,curtis682@hotmail.com
2573,888,Bernadine,Alessia799@hotmail.com,Internal Goods,1000 Block of CONNECTICUT ST,8241842420,Valid,Valid,Bernadine,alessia799@hotmail.com
6759,310,Julianna,Bridgett374@yahoo.com,Internal Goods,800 Block of NORTHPOINT ST,2604037592,Valid,Valid,Julianna,bridgett374@yahoo.com
2601,43,Gwendolyn,Kelly848@hotmail.com,Wholesale,100 Block of 3RD ST,9380507727,Valid,Valid,Gwendolyn,kelly848@hotmail.com
2656,722,Maurice,Francis214@hotmail.com,Wholesale,100 Block of TURQUOISE WY,4722321429,Valid,Valid,Maurice,francis214@hotmail.com
9645,233,Muriel,Stephania835@gmail.com,Wholesale,1100 Block of SUTTER ST,9598036922,Valid,Valid,Muriel,stephania835@gmail.com
584,392,Marie,Zella692@yahoo.co.in,Wholesale,900 Block of GEARY ST,2677043411,Valid,Valid,Marie,zella692@yahoo.co.in
2121,527,Holli,Tiffany386@ymail.com,Wholesale,HAIGHT ST / MARKET ST,4336869761,Valid,Valid,Holli,tiffany386@ymail.com
2142,767,Rory,Bernard448@google.co.in,Internal Goods,MISSION ST / RUSSIA AV,3463358376,Valid,Valid,Rory,bernard448@google.co.in
2396,650,Miley,Parth128@gmail.com,Retail,19TH ST / YORK ST,6083580617,Valid,Valid,Miley,parth128@gmail.com
8747,908,Trey,Arlene95@ymail.co.in,Retail,GEARY ST / STOCKTON ST,3087180828,Valid,Valid,Trey,arlene95@ymail.co.in
4142,955,Debora,Ronnie261@ymail.co.in,Retail,700 Block of 14TH ST,1771412315,Valid,Valid,Debora,ronnie261@ymail.co.in
9770,106,Sonja,Anne892@hotmail.com,Wholesale,OAKDALE AV / SELBY ST,7962531995,Valid,Valid,Sonja,anne892@hotmail.com
2593,410,Willie,Kathleen439@outlook.com,Wholesale,100 Block of BROOKDALE AV,5212165773,Valid,Valid,Willie,kathleen439@outlook.com
9807,311,Max,Jalen33@yahoo.com,Retail,DUNCAN ST / DOUGLASS ST,1106944265,Valid,Valid,Max,jalen33@yahoo.com
2525,830,Danielle,Jensen191@ymail.co.in,Internal Goods,500 Block of JOHNFKENNEDY DR,9484650144,Valid,Valid,Danielle,jensen191@ymail.co.in
1724,805,Caitlin,Stanley922@ymail.co.in,Internal Goods,2100 Block of 24TH AV,5023276687,Valid,Valid,Caitlin,stanley922@ymail.co.in
7146,351,Enrique,Stanley112@outlook.com,Wholesale,900 Block of MARKET ST,2048989791,Valid,Valid,Enrique,stanley112@outlook.com
563,529,Brenda,Pamela639@google.co.in,Retail,CHESTNUT ST / COLUMBUS AV,8133737988,Valid,Valid,Brenda,pamela639@google.co.in
7771,52,Andre,Isabela532@hotmail.com,Retail,200 Block of 9TH ST,3262621948,Valid,Valid,Andre,isabela532@hotmail.com
4789,30,Eunice,Tiffani333@outlook.com,Internal Goods,700 Block of MARKET ST,3426943865,Valid,Valid,Eunice,tiffani333@outlook.com
3221,421,Johnny,Ora822@outlook.com,Retail,300 Block of ATHENS ST,7803854441,Valid,Valid,Johnny,ora822@outlook.com
5197,696,Christa,Crystal579@outlook.com,Internal Goods,27TH AV / LAKE ST,9770768694,Valid,Valid,Christa,crystal579@outlook.com
8183,788,Wilbur,Todd405@ymail.co.in,Retail,2400 Block of MARKET ST,2496040176,Valid,Valid,Wilbur,todd405@ymail.co.in
1126,590,Steve,Frederick409@outlook.com,Wholesale,7TH ST / MARKET ST,5597753640,Valid,Valid,Steve,frederick409@outlook.com
4899,417,Ronnie,Makala843@ymail.com,Internal Goods,1000 Block of BUSH ST,6624913103,Valid,Valid,Ronnie,makala843@ymail.com
4732,635,Julie,Wayne473@gmail.com,Internal Goods,1300 Block of HAIGHT ST,2676477272,Valid,Valid,Julie,wayne473@gmail.com
4103,549,Paola,Bart400@outlook.com,Internal Goods,700 Block of POST ST,7164606551,Valid,Valid,Paola,bart400@outlook.com
7861,877,Shemar,Leighann675@gmail.com,Wholesale,1000 Block of INGERSON AV,6448120894,Valid,Valid,Shemar,leighann675@gmail.com
7764,690,Albert,Christina573@hotmail.com,Wholesale,0 Block of STONEYBROOK AV,8065274712,Valid,Valid,Albert,christina573@hotmail.com
5345,164,Kyleigh,Edith189@ymail.co.in,Wholesale,3900 Block of MISSION ST,8636405460,Valid,Valid,Kyleigh,edith189@ymail.co.in
6191,279,Julianna,Milburn442@hotmail.com,Retail,300 Block of 6TH AV,7478765147,Valid,Valid,Julianna,milburn442@hotmail.com
310,574,Michaela,Loren171@gmail.com,Internal Goods,2000 Block of MISSION ST,5704304288,Valid,Valid,Michaela,loren171@gmail.com
3095,222,Stefania,Zoie905@gmail.com,Retail,EDDY ST / LARKIN ST,7239777917,Valid,Valid,Stefania,zoie905@gmail.com
2159,640,Nigel,Coleman372@yahoo.co.in,Retail,SUTTER ST / FRANKLIN ST,2543703845,Valid,Valid,Nigel,coleman372@yahoo.co.in
3569,896,Mavis,Jennifer84@gmail.com,Retail,700 Block of CABRILLO ST,6104073082,Valid,Valid,Mavis,jennifer84@gmail.com
5958,318,Todd,Jensen157@gmail.com,Retail,COLUMBUS AV / CHESTNUT ST,5160860537,Valid,Valid,Todd,jensen157@gmail.com
1275,953,Marion,Cristina330@ymail.com,Retail,5TH ST / TOWNSEND ST,2792956542,Valid,Valid,Marion,cristina330@ymail.com
6357,681,Adrianna,Annamaria542@ymail.co.in,Retail,100 Block of EDDY ST,3676237077,Valid,Valid,Adrianna,annamaria542@ymail.co.in
4551,972,Jaimee,Jennie676@gmail.com,Wholesale,OAKDALE AV / RANKIN ST,2375791511,Valid,Valid,Jaimee,jennie676@gmail.com
4252,407,Joe,Eldon965@gmail.com,Internal Goods,SILVER AV / BOYLSTON ST,1578883625,Valid,Valid,Joe,eldon965@gmail.com
2096,226,Jennifer,Tammi464@google.co.in,Internal Goods,100 Block of MINNA ST,3365326918,Valid,Valid,Jennifer,tammi464@google.co.in
5209,762,Peyton,Elise537@google.co.in,Retail,500 Block of 2ND ST,8798033999,Valid,Valid,Peyton,elise537@google.co.in
9271,872,Joel,Twanna51@outlook.com,Retail,POWELL ST / GEARY ST,5734730611,Valid,Valid,Joel,twanna51@outlook.com
6772,473,Chasity,Dawn379@gmail.com,Wholesale,100 Block of TUCKER AV,7600088539,Valid,Valid,Chasity,dawn379@gmail.com
4628,248,Darrel,Gael721@hotmail.com,Retail,2300 Block of BUCHANAN ST,5946963380,Valid,Valid,Darrel,gael721@hotmail.com
3853,416,Frank,Joao478@ymail.co.in,Retail,TARAVAL ST / 44TH AV,2407798660,Valid,Valid,Frank,joao478@ymail.co.in
515,425,Christina,Muriel437@yahoo.com,Wholesale,1ST ST / MISSION ST,3644687016,Valid,Valid,Christina,muriel437@yahoo.com
7513,435,Bruno,Valeria27@ymail.com,Wholesale,0 Block of STOCKTON ST,1848195986,Valid,Valid,Bruno,valeria27@ymail.com
9030,370,Fabiola,Yasmeen6@outlook.com,Internal Goods,100 Block of HYDE ST,5755404369,Valid,Valid,Fabiola,yasmeen6@outlook.com
2378,406,Lucien,Cecilia196@hotmail.com,Internal Goods,MASON ST / TURK ST,2705083615,Valid,Valid,Lucien,cecilia196@hotmail.com
5894,976,Laverne,Brent496@ymail.co.in,Internal Goods,4400 Block of 3RD ST,2287296780,Valid,Valid,Laverne,brent496@ymail.co.in
7587,349,Joseph,Gray853@yahoo.co.in,Internal Goods,100 Block of MARIETTA DR,7152577292,Valid,Valid,Joseph,gray853@yahoo.co.in
1424,595,George,Kenny233@hotmail.com,Retail,1000 Block of FOLSOM ST,5818539801,Valid,Valid,George,kenny233@hotmail.com
5214,366,Velma,Jasmine269@hotmail.com,Retail,1300 Block of MARKET ST,5684234865,Valid,Valid,Velma,jasmine269@hotmail.com
8249,39,Christy,Kelly404@gmail.com,Retail,200 Block of RALSTON ST,8687515154,Valid,Valid,Christy,kelly404@gmail.com
3172,978,Catherine,Alysha459@ymail.co.in,Internal Goods,100 Block of SANBUENAVENTURA WY,9719226221,Valid,Valid,Catherine,alysha459@ymail.co.in
5489,623,Lita,Rashawn68@hotmail.com,Retail,1400 Block of BROADWAY ST,4582180805,Valid,Valid,Lita,rashawn68@hotmail.com
2037,751,Stephon,Rita822@google.co.in,Wholesale,1300 Block of FRANKLIN ST,1731496685,Valid,Valid,Stephon,rita822@google.co.in
2401,899,Demetrius,Jaime171@hotmail.com,Wholesale,1000 Block of HYDE ST,2656568705,Valid,Valid,Demetrius,jaime171@hotmail.com
1303,396,Evan,Debora90@gmail.com,Internal Goods,2000 Block of MISSION ST,2383254556,Valid,Valid,Evan,debora90@gmail.com
